strain,contig_id,old,new
BUMA.1121.00077,2_NZ_CP046583.1,2,2
BUMA.1121.00078,1_NZ_CP069360.1,1,1
BUMA.1121.00078,2_NZ_CP069361.1,2,2
BUMA.1121.00079,1_NZ_LR595898.1,1,1
BUMA.1121.00079,2_NZ_LR595899.1,2,2
BUMA.1121.00080,1_NZ_LR595894.1,1,1
BUMA.1121.00080,2_NZ_LR595895.1,2,2
BUMA.1121.00081,1_NC_006348.1,1,1
BUMA.1121.00081,2_NC_006349.2,2,2
BUMA.1121.00082,1_NC_006350.1,1,1
BUMA.1121.00082,2_NC_006351.1,2,2
BUMA.1121.00083,1_NZ_CP009538.1,1,1
BUMA.1121.00083,2_NZ_CP009537.1,2,2
BUMA.1121.00084,1_NC_007434.1,1,1
BUMA.1121.00084,2_NC_007435.1,2,2
BUMA.1121.00085,1_NC_008785.1,1,1
BUMA.1121.00085,2_NC_008784.1,2,2
BUMA.1121.00086,1_NC_009080.1,1,1
BUMA.1121.00086,2_NC_009079.1,2,2
BUMA.1121.00087,1_NZ_CP007802.1,1,1
BUMA.1121.00087,2_NZ_CP007801.1,2,2
BUMA.1121.00088,1_NZ_CP009899.1,1,1
BUMA.1121.00088,2_NZ_CP009898.1,2,2
BUMA.1121.00089,1_NC_009076.1,1,1
BUMA.1121.00089,2_NC_009078.1,2,2
BUMA.1121.00090,1_NZ_CP009535.1,1,1
BUMA.1121.00090,2_NZ_CP009536.1,2,2
BUMA.1121.00091,1_NZ_CP008777.1,1,1
BUMA.1121.00091,2_NZ_CP008778.1,2,2
BUMA.1121.00092,1_NC_017831.1,1,1
BUMA.1121.00092,2_NC_017832.1,2,2
BUMA.1121.00093,1_NZ_CP004379.1,1,1
BUMA.1121.00093,2_NZ_CP004380.1,2,2
BUMA.1121.00094,1_NC_018527.1,1,1
BUMA.1121.00094,2_NC_018529.1,2,2
BUMA.1121.00095,1_NC_022659.1,1,1
BUMA.1121.00095,2_NC_022658.1,2,2
BUMA.1121.00096,1_NZ_CP004001.1,1,1
BUMA.1121.00096,2_NZ_CP004002.1,2,2
BUMA.1121.00097,1_NZ_CP004042.1,1,1
BUMA.1121.00097,2_NZ_CP004043.1,2,2
BUMA.1121.00098,1_NZ_CP009478.1,1,1
BUMA.1121.00098,2_NZ_CP009477.1,2,2
BUMA.1121.00099,1_NZ_CP009485.1,1,1
BUMA.1121.00099,2_NZ_CP009484.1,2,2
BUMA.1121.00100,1_NZ_CP009474.1,1,1
BUMA.1121.00100,2_NZ_CP009473.1,2,2
BUMA.1121.00101,1_NZ_CP004377.1,1,1
BUMA.1121.00101,2_NZ_CP004378.1,2,2
BUMA.1121.00102,1_NZ_CP009551.1,1,1
BUMA.1121.00102,2_NZ_CP009550.1,2,2
BUMA.1121.00103,1_NZ_CP004368.1,1,1
BUMA.1121.00103,2_NZ_CP004369.1,2,2
BUMA.1121.00104,2_NZ_CP008892.1,2,1
BUMA.1121.00104,1_NZ_CP008891.1,1,2
BUMA.1121.00105,1_NZ_CP008911.1,1,1
BUMA.1121.00105,2_NZ_CP008912.1,2,2
BUMA.1121.00106,1_NZ_CP008894.1,1,1
BUMA.1121.00106,2_NZ_CP008893.1,2,2
BUMA.1121.00107,1_NZ_CP009161.1,1,1
BUMA.1121.00107,2_NZ_CP009160.1,2,2
BUMA.1121.00108,1_NZ_CP009235.1,1,1
BUMA.1121.00108,2_NZ_CP009234.1,2,2
BUMA.1121.00109,1_NZ_CP009162.1,1,1
BUMA.1121.00109,2_NZ_CP009163.1,2,2
BUMA.1121.00110,1_NZ_CP009151.1,1,1
BUMA.1121.00110,2_NZ_CP009150.1,2,2
BUMA.1121.00111,1_NZ_CP018384.1,1,1
BUMA.1121.00111,2_NZ_CP018386.1,2,2
BUMA.1121.00112,1_NZ_CP009157.1,1,1
BUMA.1121.00112,2_NZ_CP009156.1,2,2
