mean_length,genomes,chroms
9335.42857142857,7,1
9777.5,4,1
6602.5,2,1
8017.333333333333,3,1
5178.333333333333,3,1
6251.75,4,1
4251.0,2,1
3248.0,8,"1,2"
4516.25,4,1
6723.5,2,1
5698.0,2,"1,2"
3223.875,8,1
3229.0,3,1
11406.714285714286,7,1
4164.909090909091,11,"1,2"
6146.0,9,"1,2"
6360.0,2,1
3513.5,2,1
21863.5,2,1
5405.0,2,1
3288.6666666666665,3,1
8563.0,2,1
3223.5,2,1
6185.833333333333,6,1
4201.0,3,1
5148.0,3,1
4532.5,4,1
6001.5,2,1
3797.0,2,1
5731.125,8,1
4302.181818181818,11,1
3625.0,2,1
3783.3333333333335,3,1
3039.0,4,1
3069.0,4,1
3333.0,2,1
5983.857142857143,7,1
3462.5,2,1
4239.0,5,1
4359.818181818182,11,1
6894.25,4,1
22445.876543209877,81,2
4164.2405063291135,79,2
4780.938271604939,81,2
4623.666666666667,81,2
4248.37037037037,81,2
4597.555555555556,81,2
3610.8395061728397,81,2
4459.225,80,2
10694.525,80,2
3336.35,80,2
12523.2875,80,2
26466.5625,80,2
10083.7375,80,2
6677.4375,80,2
3362.3375,80,2
5653.625,80,2
3940.8125,80,2
15877.8375,80,2
33070.225,80,2
3848.259259259259,81,2
8127.333333333333,81,2
11752.172839506173,81,2
12689.567901234568,81,2
13126.246913580248,81,2
16460.975308641977,81,2
26658.037037037036,81,2
32376.864197530864,81,2
22766.506172839505,81,2
13261.135802469136,81,2
11998.79012345679,81,2
3551.196319018405,81,2
5011.815950920245,81,2
4767.864197530864,81,2
4766.283950617284,81,2
32724.506172839505,81,2
3078.974358974359,78,2
51278.97530864197,81,2
42761.97530864197,81,2
23385.41975308642,81,2
32060.51851851852,81,2
42717.16049382716,81,2
19885.493827160495,81,2
11762.62962962963,81,2
12339.271604938273,81,2
10177.086419753086,81,2
25139.567901234568,81,2
11583.185185185184,81,2
22943.432098765432,81,2
8030.16049382716,81,2
6155.024691358025,81,2
5577.16049382716,81,2
