block,chroms,mean_length,std_length,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,tree_consistent
238,2,49573.51612903226,53.985584077987106,0,0,0,True
111,1,106284.87096774194,53.59209254110575,0,0,0,True
21,1,27091.1935483871,51.873555544499766,0,0,0,True
123,1,24160.83870967742,50.83692890282174,0,0,0,True
140,1,13623.21875,49.73978184951659,0,0,0,True
162,2,33488.25806451613,48.646166670538115,0,0,0,True
45,1,10127.193548387097,48.62192480023715,0,0,0,True
133,1,19036.709677419356,48.270871165970775,0,0,0,True
55,1,25972.90322580645,48.25293227841331,0,0,0,True
230,2,39364.8064516129,48.01036135134132,0,0,0,True
211,2,7249.5161290322585,47.67353426049486,0,0,0,True
126,1,8701.935483870968,46.0272958873466,0,0,0,True
146,1,10552.483870967742,45.520552584478295,0,0,0,True
216,2,7625.482758620689,42.74916469412221,0,0,0,True
212,2,25027.90322580645,42.296461255706284,0,0,0,True
53,1,75774.32258064517,41.177340383786394,0,0,0,True
122,1,65012.354838709674,40.68410832420045,0,0,0,True
7,1,40436.8717948718,40.14664113240774,0,0,0,True
19,1,49422.290322580644,38.45918955446492,0,0,0,True
10,1,37202.709677419356,37.171089657791235,0,0,0,True
144,1,7820.90625,35.391877047388995,0,0,0,True
231,2,38386.1935483871,34.20943027393198,0,0,0,True
26,1,14863.258064516129,33.86307127615424,0,0,0,True
20,1,48277.51612903226,31.429255908326763,0,0,0,True
202,2,33050.875,30.82384426057204,0,0,0,True
70,1,18563.90322580645,28.65180829592489,0,0,0,True
61,1,33356.645161290326,27.999479703802763,0,0,0,True
156,2,9270.65,26.544820587074984,0,0,0,True
224,2,39924.32258064516,26.029000075937873,0,0,0,True
94,1,51512.76666666667,25.42529361788287,0,0,0,True
117,1,26709.225806451614,25.240404982972727,0,0,0,True
218,2,39766.65517241379,22.78425933064614,0,0,0,True
12,1,36729.354838709674,21.253536156779507,0,0,0,True
37,1,13877.90909090909,21.223719772738605,0,0,0,True
239,2,14757.806451612903,20.885894846474294,0,0,0,True
234,2,9967.258064516129,20.49857232154581,0,0,0,True
82,1,4834.129032258064,17.824850242295156,0,0,0,True
98,1,15787.935483870968,17.431775738892185,0,0,0,True
134,1,3541.1666666666665,17.324516988617283,0,0,0,True
86,1,29813.612903225807,17.15710596574105,0,0,0,True
57,1,9476.894736842105,16.391251635976605,0,0,0,True
27,1,26438.3,16.201131647717286,0,0,0,True
243,1,32442.0,16.0,0,0,0,True
142,1,12274.424242424242,15.986794366696804,0,0,0,True
76,1,27435.677419354837,15.14316005878816,0,0,0,True
159,2,21012.16129032258,14.725656290086947,0,0,0,True
73,1,25131.709677419356,13.921887034652276,0,0,0,True
83,1,7124.129032258064,13.261007443566053,0,0,0,True
8,1,19641.525,13.005743923359402,0,0,0,True
96,1,18024.96875,12.924019244704798,0,0,0,True
39,1,29984.1935483871,11.816935236206168,0,0,0,True
54,1,27239.870967741936,11.252933482728018,0,0,0,True
71,1,14411.483870967742,10.748956341662367,0,0,0,True
124,1,32310.709677419356,10.638316469972894,0,0,0,True
112,1,28242.516129032258,10.210276188934285,0,0,0,True
119,1,16727.129032258064,10.07309394595924,0,0,0,True
113,1,15304.322580645161,9.972177737291963,0,0,0,True
108,1,8707.838709677419,9.955049858735332,0,0,0,True
30,1,12938.434782608696,9.640611954942722,0,0,0,True
47,1,21608.41935483871,9.604347784100721,0,0,0,True
62,1,62720.3870967742,9.495932641535017,0,0,0,True
80,1,18202.935483870966,8.980033349571555,0,0,0,True
13,1,31257.612903225807,8.94671473081073,0,0,0,True
141,1;2,3693.78125,8.729384195778072,0,0,0,True
163,2,13617.064516129032,8.702745150408902,0,0,0,True
9,1,5002.909090909091,8.6211988070409,0,0,0,True
65,1,3371.548387096774,8.545282455089058,0,0,0,True
52,1,7554.677419354839,8.317828100412537,0,0,0,True
43,1,19407.74193548387,8.300671336765417,0,0,0,True
81,1,16220.838709677419,8.273926298897262,0,0,0,True
41,1,6131.1612903225805,8.262221735858159,0,0,0,True
169,2,32025.74193548387,8.234340923683607,0,0,0,True
205,2,7912.03125,8.152777038377781,0,0,0,True
93,1,9566.870967741936,8.019097911956184,0,0,0,True
31,1,9302.58064516129,7.77412662265397,0,0,0,True
49,1,4125.866666666667,7.762015774841539,0,0,0,True
50,1,34481.709677419356,7.599633048811429,0,0,0,True
137,1,5179.935483870968,7.538869102625012,0,0,0,True
16,1,7914.548387096775,7.486929297233213,0,0,0,True
99,1,29567.90322580645,7.393784829862292,0,0,0,True
125,1,41962.967741935485,7.346203192994158,0,0,0,True
46,1,16848.225806451614,7.289894363672683,0,0,0,True
78,1,3692.0,7.139169555031164,0,0,0,True
68,1,20335.58064516129,7.133628645246612,0,0,0,True
22,1,12671.806451612903,6.99501829571132,0,0,0,True
155,2,19928.41935483871,6.771735345077131,0,0,0,True
130,1,19189.870967741936,6.607629683268991,0,0,0,True
176,2,3460.689655172414,6.597300640653184,0,0,0,True
32,1,22624.645161290322,6.398328345681137,0,0,0,True
